Current,Next,I_next,I_current
Baltic Ave,Connecticut Ave,9,3
Connecticut Ave,New York Ave,19,9
New York Ave,Illinois Ave,24,19
Illinois Ave,Community Chest #3,33,24
Community Chest #3,Boardwalk,39,33
Boardwalk,Vermont Ave,8,39
Vermont Ave,Pennsylvania Railroad,15,8
Pennsylvania Railroad,Atlantic Ave,26,15
Atlantic Ave,Short Line,35,26
Short Line,Oriental Ave,6,35
Oriental Ave,States Ave,13,6
States Ave,Chance #2,22,13
Chance #2,Jail,10,22
Jail,Virginia Ave,14,10
Virginia Ave,Indiana Ave,23,14
Indiana Ave,Pacific Ave,31,23
Pacific Ave,Luxury Tax,38,31
Luxury Tax,Community Chest #1,2,38
Community Chest #1,Electric Company,12,2
Electric Company,Community Chest #2,17,12
Community Chest #2,Chance #2,22,17
Chance #2,Go,0,22
Go,Baltic Ave,3,0
Baltic Ave,St. Charles Place,11,3
St. Charles Place,Chance #2,22,11
Chance #2,Go To Jail,30,22
Go To Jail,Jail,10,30
Jail,Pennsylvania Railroad,15,10
Pennsylvania Railroad,New York Ave,19,15
New York Ave,B & O Railroad,25,19
B & O Railroad,Marvin Gardens,29,25
Marvin Gardens,Boardwalk,39,29
Boardwalk,Baltic Ave,3,39
Baltic Ave,Jail,10,3
Jail,Community Chest #2,17,10
Community Chest #2,Ventnor Ave,27,17
Ventnor Ave,Pennsylvania Ave,34,27
Pennsylvania Ave,Mediterranean Ave,1,34
Mediterranean Ave,Oriental Ave,6,1
Oriental Ave,Jail,10,6
Jail,Tennessee Ave,18,10
Tennessee Ave,Atlantic Ave,26,18
Atlantic Ave,Pacific Ave,31,26
Pacific Ave,Chance #3,36,31
Chance #3,Community Chest #3,33,36
Community Chest #3,Go,0,33
Go,Income Tax,4,0
Income Tax,St. Charles Place,11,4
St. Charles Place,Tennessee Ave,18,11
Tennessee Ave,Atlantic Ave,26,18
Atlantic Ave,Community Chest #3,33,26
Community Chest #3,Go,0,33
Go,Chance #1,7,0
Chance #1,St. James Place,16,7
St. James Place,Illinois Ave,24,16
Illinois Ave,Pacific Ave,31,24
Pacific Ave,Chance #3,36,31
Chance #3,Reading Railroad,5,36
Reading Railroad,St. Charles Place,11,5
St. Charles Place,Virginia Ave,14,11
Virginia Ave,Chance #2,22,14
Chance #2,Illinois Ave,24,22
Illinois Ave,Short Line,35,24
Short Line,Oriental Ave,6,35
Oriental Ave,Electric Company,12,6
Electric Company,Free Parking,20,12
Free Parking,Water Works,28,20
Water Works,Short Line,35,28
Short Line,Go,0,35
Go,Reading Railroad,5,0
Reading Railroad,States Ave,13,5
States Ave,Tennessee Ave,18,13
Tennessee Ave,Atlantic Ave,26,18
Atlantic Ave,Short Line,35,26
Short Line,Luxury Tax,38,35
Luxury Tax,Income Tax,4,38
Income Tax,St. Charles Place,11,4
St. Charles Place,New York Ave,19,11
New York Ave,B & O Railroad,25,19
B & O Railroad,Marvin Gardens,29,25
Marvin Gardens,Short Line,35,29
Short Line,Reading Railroad,5,35
Reading Railroad,States Ave,13,5
States Ave,Chance #2,22,13
Chance #2,B & O Railroad,25,22
B & O Railroad,Pacific Ave,31,25
Pacific Ave,Luxury Tax,38,31
Luxury Tax,Baltic Ave,3,38
Baltic Ave,Connecticut Ave,9,3
Connecticut Ave,Tennessee Ave,18,9
Tennessee Ave,Water Works,28,18
Water Works,Go To Jail,30,28
Go To Jail,Jail,10,30
Jail,Community Chest #2,17,10
Community Chest #2,Chance #2,22,17
Chance #2,Ventnor Ave,27,22
Ventnor Ave,Pennsylvania Ave,34,27
Pennsylvania Ave,Income Tax,4,34
Income Tax,Electric Company,12,4
Electric Company,New York Ave,19,12
New York Ave,Atlantic Ave,26,19
Atlantic Ave,Chance #3,36,26
Chance #3,Boardwalk,39,36
Boardwalk,Oriental Ave,6,39
Oriental Ave,States Ave,13,6
States Ave,St. James Place,16,13
St. James Place,Indiana Ave,23,16
Indiana Ave,Atlantic Ave,26,23
Atlantic Ave,Pacific Ave,31,26
Pacific Ave,Pennsylvania Ave,34,31
Pennsylvania Ave,Community Chest #1,2,34
Community Chest #1,Reading Railroad,5,2
Reading Railroad,Jail,10,5
Jail,Tennessee Ave,18,10
Tennessee Ave,Free Parking,20,18
Free Parking,Indiana Ave,23,20
Indiana Ave,Pacific Ave,31,23
Pacific Ave,Mediterranean Ave,1,31
Mediterranean Ave,Oriental Ave,6,1
Oriental Ave,Virginia Ave,14,6
Virginia Ave,Chance #2,22,14
Chance #2,Illinois Ave,24,22
Illinois Ave,Community Chest #3,33,24
Community Chest #3,Boardwalk,39,33
Boardwalk,Chance #1,7,39
Chance #1,Electric Company,12,7
Electric Company,Free Parking,20,12
Free Parking,Go To Jail,30,20
Go To Jail,Jail,10,30
Jail,Community Chest #2,17,10
Community Chest #2,New York Ave,19,17
New York Ave,Atlantic Ave,26,19
Atlantic Ave,Park Place,37,26
Park Place,Oriental Ave,6,37
Oriental Ave,Connecticut Ave,9,6
Connecticut Ave,St. James Place,16,9
St. James Place,New York Ave,19,16
New York Ave,Indiana Ave,23,19
Indiana Ave,Pennsylvania Ave,34,23
Pennsylvania Ave,Mediterranean Ave,1,34
Mediterranean Ave,Oriental Ave,6,1
Oriental Ave,Community Chest #2,17,6
Community Chest #2,Indiana Ave,23,17
Indiana Ave,Pacific Ave,31,23
Pacific Ave,Boardwalk,39,31
Boardwalk,Reading Railroad,5,39
Reading Railroad,St. Charles Place,11,5
St. Charles Place,Free Parking,20,11
Free Parking,Go To Jail,30,20
Go To Jail,Jail,10,30
Jail,New York Ave,19,10
New York Ave,Marvin Gardens,29,19
Marvin Gardens,Chance #3,36,29
Chance #3,Reading Railroad,5,36
Reading Railroad,Virginia Ave,14,5
Virginia Ave,Illinois Ave,24,14
Illinois Ave,North Carolina Ave,32,24
North Carolina Ave,Mediterranean Ave,1,32
Mediterranean Ave,Connecticut Ave,9,1
Connecticut Ave,Electric Company,12,9
Electric Company,St. James Place,16,12
St. James Place,Indiana Ave,23,16
Indiana Ave,Marvin Gardens,29,23
Marvin Gardens,Community Chest #3,33,29
Community Chest #3,Baltic Ave,3,33
Baltic Ave,Electric Company,12,3
Electric Company,Pennsylvania Railroad,15,12
Pennsylvania Railroad,B & O Railroad,25,15
B & O Railroad,Community Chest #3,33,25
Community Chest #3,Income Tax,4,33
Income Tax,Electric Company,12,4
Electric Company,Chance #2,22,12
Chance #2,B & O Railroad,25,22
B & O Railroad,North Carolina Ave,32,25
North Carolina Ave,Mediterranean Ave,1,32
Mediterranean Ave,Jail,10,1
Jail,Community Chest #2,17,10
Community Chest #2,Free Parking,20,17
Free Parking,Atlantic Ave,26,20
Atlantic Ave,North Carolina Ave,32,26
North Carolina Ave,Chance #3,36,32
Chance #3,Illinois Ave,24,36
Illinois Ave,Community Chest #3,33,24
